id,uri,name,artists,album.name,album.release_date,album.release_date_precision,preview_url,release_year
0DfG1ltJnZyq4Tx3ZLL7ZU,spotify:track:0DfG1ltJnZyq4Tx3ZLL7ZU,Rock Me Amadeus - The Gold Mix,['Falco'],Falco 3,1985-02-19,day,https://p.scdn.co/mp3-preview/5b734bd50cf58ff56b7df5e19b9554f37ff7c9c9?cid=74d3dcba17084a749f20d4d3a2640dec,1985
7c1jyWrItSmd9jYHshW37b,spotify:track:7c1jyWrItSmd9jYHshW37b,¿Hay alguien ahí? - 2008 Remaster,['El Último De La Fila'],"Cuando la pobreza entra por la puerta, el amor salta por la ventana (2008 Remaster)",1985-12-02,day,https://p.scdn.co/mp3-preview/acca5757faac4b9b0bd68bfca8d31669056db8fd?cid=74d3dcba17084a749f20d4d3a2640dec,1985
63Fp7Xo4fCSZrCoAU2wt4y,spotify:track:63Fp7Xo4fCSZrCoAU2wt4y,Otra vez en casa - 2008 Remaster,['El Último De La Fila'],"Cuando la pobreza entra por la puerta, el amor salta por la ventana (2008 Remaster)",1985-12-02,day,https://p.scdn.co/mp3-preview/f5e7d192e1ed334862e18c531a07b7daf051b9a3?cid=74d3dcba17084a749f20d4d3a2640dec,1985
2Ywft2Thbf7mPyoD2ntadi,spotify:track:2Ywft2Thbf7mPyoD2ntadi,Suspicious Minds,['Fine Young Cannibals'],Fine Young Cannibals,1985-01-01,day,https://p.scdn.co/mp3-preview/d7b879ae83676da866639f74924e16c6e20bd2fd?cid=74d3dcba17084a749f20d4d3a2640dec,1985
6pPCOXIQeNMr1oCWJTomSf,spotify:track:6pPCOXIQeNMr1oCWJTomSf,Sisters Are Doin' It for Themselves - Remastered Version,"['Eurythmics', 'Annie Lennox', 'Dave Stewart', 'Aretha Franklin']",Be Yourself Tonight,1985-04-29,day,https://p.scdn.co/mp3-preview/1f626874ed886303480c7a004d81989105c43973?cid=74d3dcba17084a749f20d4d3a2640dec,1985
1A2PWRltFrX8iB8IP3CUgo,spotify:track:1A2PWRltFrX8iB8IP3CUgo,St. Elmos Fire (Man in Motion),['John Parr'],St. Elmo's Fire - Music From The Original Motion Picture Soundtrack,1985-01-01,day,https://p.scdn.co/mp3-preview/8f16e65db36d6a0f529a9f51f80b22f48685b6aa?cid=74d3dcba17084a749f20d4d3a2640dec,1985
0iVXKGnD23wIulXZRit20N,spotify:track:0iVXKGnD23wIulXZRit20N,All I Need Is A Miracle,['Mike & The Mechanics'],Mike + The Mechanics,1985-10-05,day,https://p.scdn.co/mp3-preview/56c208b126df1b27c4ff054a7be66ef76d8f0dab?cid=74d3dcba17084a749f20d4d3a2640dec,1985
5atQ2haKP5LT65WM0KUts3,spotify:track:5atQ2haKP5LT65WM0KUts3,Cloudbusting,['Kate Bush'],Hounds Of Love,1985,year,https://p.scdn.co/mp3-preview/4175be386958fec68b0223aae88f1508408b2d45?cid=74d3dcba17084a749f20d4d3a2640dec,1985
0WbrOgZJb6yHPumYXEbs5U,spotify:track:0WbrOgZJb6yHPumYXEbs5U,The Pan Within - 2004 Remaster,['The Waterboys'],This Is the Sea (Deluxe Version),1985-09-16,day,https://p.scdn.co/mp3-preview/54818cd3f196c5e900de979ede7e7c80d59c5225?cid=74d3dcba17084a749f20d4d3a2640dec,1985
37TcCbtkvz2Vd4mfMTDlvY,spotify:track:37TcCbtkvz2Vd4mfMTDlvY,Dejad que las niñas se acerquen a mí,['Hombres G'],Hombres G (Edición 30 Aniversario),1985,year,https://p.scdn.co/mp3-preview/e0dfa64f289670c353422d4f5ce41fdaf68f8b37?cid=74d3dcba17084a749f20d4d3a2640dec,1985
22mBFQDC3JJvJAahX7hOmH,spotify:track:22mBFQDC3JJvJAahX7hOmH,Acaríciame,['Maria Conchita Alonso'],O Ella o Yo,1985,year,https://p.scdn.co/mp3-preview/2dd8bc3016379a899d8a081c7980c69b6e80eff1?cid=74d3dcba17084a749f20d4d3a2640dec,1985
