id,uri,name,artists,album.name,album.release_date,album.release_date_precision,preview_url
5CHtPxcb0udiIc6ZUeu7fj,spotify:track:5CHtPxcb0udiIc6ZUeu7fj,Oh L' Amour (Be Happy Version),['Petr Muk'],Oh L'Amour,1900,year,https://p.scdn.co/mp3-preview/9689acb93590782eac3009d42f76c2b77481247f?cid=74d3dcba17084a749f20d4d3a2640dec
1WfNDDRE0mzgG02qvnyp4i,spotify:track:1WfNDDRE0mzgG02qvnyp4i,Sit,['DIVOKEJ BILL'],Divokej Bill,1900,year,https://p.scdn.co/mp3-preview/b93760a7575ec662a09eb76415c78d7d08d74f99?cid=74d3dcba17084a749f20d4d3a2640dec
4GsMPTWzDDDK2PwXvooo6r,spotify:track:4GsMPTWzDDDK2PwXvooo6r,Santa Teresa De Avila,['Robert Kasprzycki'],Niebo Do Wynajecia,1900,year,https://p.scdn.co/mp3-preview/0703bc831650377d29d76556de1a34548d28783e?cid=74d3dcba17084a749f20d4d3a2640dec
7cLKNqgHUzn0nCE5U8WnVB,spotify:track:7cLKNqgHUzn0nCE5U8WnVB,Niebo Do Wynajêcia,['Robert Kasprzycki'],Niebo Do Wynajecia,1900,year,https://p.scdn.co/mp3-preview/bf690b7aa24841e01918b8b54e590453c8afd841?cid=74d3dcba17084a749f20d4d3a2640dec
2pX43062mcR38q5kkHCWsl,spotify:track:2pX43062mcR38q5kkHCWsl,Somnambule,['Raphaël'],Somnambules,1900,year,https://p.scdn.co/mp3-preview/7c3af4a67bdb21adff60e0944a636866e15717c8?cid=74d3dcba17084a749f20d4d3a2640dec
0S8EP7vsMkxLq74IVh8Dbr,spotify:track:0S8EP7vsMkxLq74IVh8Dbr,A Woman In Love,['The Four Aces'],The Best Of The Four Aces,1900-01-12,day,https://p.scdn.co/mp3-preview/0016488bf33ad1527784e8f28a5ca8216ae01304?cid=74d3dcba17084a749f20d4d3a2640dec
0L19R3W7BMNhlsmKoc76Wi,spotify:track:0L19R3W7BMNhlsmKoc76Wi,غريب,['Angham'],هيبة,1900,year,https://p.scdn.co/mp3-preview/13a178160838c687425b53891f17d994b352000e?cid=74d3dcba17084a749f20d4d3a2640dec
3cL9pIOBf5RiOMFsCJNT8J,spotify:track:3cL9pIOBf5RiOMFsCJNT8J,ما حدا فاضي,['Angham'],هيبة,1900,year,https://p.scdn.co/mp3-preview/ca6e75825f791ec7bb347e3066622f0b2544fba8?cid=74d3dcba17084a749f20d4d3a2640dec
4LyXr8LD0KzRwjvFWHS5wc,spotify:track:4LyXr8LD0KzRwjvFWHS5wc,هيبة,['Angham'],هيبة,1900,year,https://p.scdn.co/mp3-preview/ebe3974982af6e5d678aeadb737c032a4675604a?cid=74d3dcba17084a749f20d4d3a2640dec
3XIXpTKalkHC79Kh373Orq,spotify:track:3XIXpTKalkHC79Kh373Orq,حلفتكم بالله,['Angham'],هيبة,1900,year,https://p.scdn.co/mp3-preview/f71850e9b8d646b34de7aba0db4573fe24de84e0?cid=74d3dcba17084a749f20d4d3a2640dec
2yTKrzcHiHoqlHLfakAjLl,spotify:track:2yTKrzcHiHoqlHLfakAjLl,بكره,['Angham'],هيبة,1900,year,https://p.scdn.co/mp3-preview/1179b16c1da225f052fd777d1ff90dedab5aa8c9?cid=74d3dcba17084a749f20d4d3a2640dec
4tk6z1fr4iCpO36ap6vyjK,spotify:track:4tk6z1fr4iCpO36ap6vyjK,ليه أحبك,['Angham'],هيبة,1900,year,https://p.scdn.co/mp3-preview/403736e64508ddcabb8e54acca9d5451d3b762b3?cid=74d3dcba17084a749f20d4d3a2640dec
0hfNkYcP7PWZ6KaqHWzRsj,spotify:track:0hfNkYcP7PWZ6KaqHWzRsj,عيدنا مبارك,['Angham'],هيبة,1900,year,https://p.scdn.co/mp3-preview/85e0a4a012936631a26418351c77d42431fa8ef9?cid=74d3dcba17084a749f20d4d3a2640dec
5DqiilkwBdbsgGh5C8fp6t,spotify:track:5DqiilkwBdbsgGh5C8fp6t,حرية قرار,['Angham'],هيبة,1900,year,https://p.scdn.co/mp3-preview/6e11ab4f245f1617aaaf2403d102c073d6f515e4?cid=74d3dcba17084a749f20d4d3a2640dec
0A0346mfUrn1BgOcai4zqs,spotify:track:0A0346mfUrn1BgOcai4zqs,Amor Magor (Stupid Cupid),['Lucie Bílá'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/e9ba1418c187d55fb00ae2f092555599735cd182?cid=74d3dcba17084a749f20d4d3a2640dec
4TVZjEW810x3q5jUxLKdLU,spotify:track:4TVZjEW810x3q5jUxLKdLU,Amor Magor - Live,['Lucie Bílá'],Koncert,1900,year,https://p.scdn.co/mp3-preview/d3b4fbd09edb4b923bcb6a43408faabc2ff79329?cid=74d3dcba17084a749f20d4d3a2640dec
16gKXMiJXVJ4sp31PzrrQR,spotify:track:16gKXMiJXVJ4sp31PzrrQR,Tolik vina tolik slov - Live,['Lucie Bílá'],Koncert,1900,year,https://p.scdn.co/mp3-preview/badd7029cfcb99ef539acaa90cd1387302727776?cid=74d3dcba17084a749f20d4d3a2640dec
4xaOCuPr0VyN11fjXlTEGu,spotify:track:4xaOCuPr0VyN11fjXlTEGu,Jsi muj pan - 1997 Remastered Version,['Lucie Bílá'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/72644216d7333767503fc4b1eb37e21bf9642ca2?cid=74d3dcba17084a749f20d4d3a2640dec
7wOLtEeufAHe4VBHcjDg1k,spotify:track:7wOLtEeufAHe4VBHcjDg1k,Zpivas Mi Requiem (Only One Woman),['Lucie Bílá'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/6d225dd2b94772356e74f6c42fd4fc92008bb7b2?cid=74d3dcba17084a749f20d4d3a2640dec
4irFE9rQby5Vv5QrkKRj5V,spotify:track:4irFE9rQby5Vv5QrkKRj5V,S cizim chlapem v cizim pokoji - Radio Edit /Live,['Lucie Bílá'],Koncert,1900,year,https://p.scdn.co/mp3-preview/17fc38beacc3c0315bd3754eb9d29045a9c50090?cid=74d3dcba17084a749f20d4d3a2640dec
6JfaOyzyZoHpVP5nzxaAMD,spotify:track:6JfaOyzyZoHpVP5nzxaAMD,Jen jednou smim se ti lasko vzdat,"['Lucie Bílá', 'Karel Gott']",Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/aac6e9b787f3024e5e1b5db52010765db4d658ae?cid=74d3dcba17084a749f20d4d3a2640dec
6uTeysSEhVst22LTzXphEa,spotify:track:6uTeysSEhVst22LTzXphEa,Esemes (You),['Lucie Bílá'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/0403309fe9d148fcf6b55aec7d20d388126d42b3?cid=74d3dcba17084a749f20d4d3a2640dec
5Wy87MgNntsGixRAZ0bfpM,spotify:track:5Wy87MgNntsGixRAZ0bfpM,Boubel - Live,['Lucie Bílá'],Koncert,1900,year,https://p.scdn.co/mp3-preview/059fb3c4376c08e6c96dee48505bd21150d26262?cid=74d3dcba17084a749f20d4d3a2640dec
2CLXC2l6ih90t0V1G2efPG,spotify:track:2CLXC2l6ih90t0V1G2efPG,Vokurky - Live Version,['Lucie Bílá'],Koncert,1900,year,https://p.scdn.co/mp3-preview/a09e9f0824bc0870807243de9600c0d0f7c3900e?cid=74d3dcba17084a749f20d4d3a2640dec
3qKHINajwx6bwaqodDRMZW,spotify:track:3qKHINajwx6bwaqodDRMZW,S cizim chlapem v cizim pokoji - Live,['Lucie Bílá'],Koncert,1900,year,https://p.scdn.co/mp3-preview/701112cf22e8d3b249a8b89a0908eadfd71c9985?cid=74d3dcba17084a749f20d4d3a2640dec
7j2LjWxr6T8hcEMMdOai9k,spotify:track:7j2LjWxr6T8hcEMMdOai9k,Ulice - Live,['Lucie Bílá'],Koncert,1900,year,https://p.scdn.co/mp3-preview/491e95a07ae268af9a43860ae5748b8271df5135?cid=74d3dcba17084a749f20d4d3a2640dec
4qzygizjYZnphei9OVYS13,spotify:track:4qzygizjYZnphei9OVYS13,Papouch - Live Version,['Lucie Bílá'],Koncert,1900,year,https://p.scdn.co/mp3-preview/82fdf503f49cc4b7e82a295399654e16765cbb92?cid=74d3dcba17084a749f20d4d3a2640dec
4gnTmUrZXRMhcVmI7PJeUi,spotify:track:4gnTmUrZXRMhcVmI7PJeUi,Zpivas mi requiem - Live,['Lucie Bílá'],Koncert,1900,year,https://p.scdn.co/mp3-preview/97927728c9a6702cd409cff31684c9b6a1f6bb3b?cid=74d3dcba17084a749f20d4d3a2640dec
2nPptFsFblnbiYNvbPz5DX,spotify:track:2nPptFsFblnbiYNvbPz5DX,Most přes minulost,['Lucie Bílá'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/fe4785870f229710854839b0c32e95fd16b79367?cid=74d3dcba17084a749f20d4d3a2640dec
03u0AhIlmJfhlK6q9YkOnv,spotify:track:03u0AhIlmJfhlK6q9YkOnv,Utek,['Lucie Bílá'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/30561fc5246da6b26b9344ff0fb0811369dd34e7?cid=74d3dcba17084a749f20d4d3a2640dec
5Wx85pX9jrnUOszM6qwBvd,spotify:track:5Wx85pX9jrnUOszM6qwBvd,Vokurky,['Lucie Bílá'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/707cd0728602310dbb4a6e5b3db4e818bbcf05ba?cid=74d3dcba17084a749f20d4d3a2640dec
6nlpGLdAy1AhJroogeWhA6,spotify:track:6nlpGLdAy1AhJroogeWhA6,Pouta - Live,['Lucie Bílá'],Koncert,1900,year,https://p.scdn.co/mp3-preview/71021eec3762285ba04e4dfe4928d21769763047?cid=74d3dcba17084a749f20d4d3a2640dec
0utPo0KEgIlyNxoOlZBjqv,spotify:track:0utPo0KEgIlyNxoOlZBjqv,Tma - Live,['Lucie Bílá'],Koncert,1900,year,https://p.scdn.co/mp3-preview/0072505854ecff49ddf563dcd6198e9bea48319f?cid=74d3dcba17084a749f20d4d3a2640dec
1IFkLHybNFg2lvPsF7ktgZ,spotify:track:1IFkLHybNFg2lvPsF7ktgZ,Uneseny - Live,['Lucie Bílá'],Koncert,1900,year,https://p.scdn.co/mp3-preview/67fe2baef70ea90f9fd4255d6a4a482849d04668?cid=74d3dcba17084a749f20d4d3a2640dec
52gaIIXw8FEWkYC0mkLqVM,spotify:track:52gaIIXw8FEWkYC0mkLqVM,Pruhledna Noc,['Lucie Bílá'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/994824fb8a7cbb097fc2086435280bc726af0526?cid=74d3dcba17084a749f20d4d3a2640dec
2mCCysxK1tWvner3sshsib,spotify:track:2mCCysxK1tWvner3sshsib,Trouba (Release Me),['Lucie Bílá'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/7ec6a969056770ea6e0bc52a9f36f566d20bc9f2?cid=74d3dcba17084a749f20d4d3a2640dec
6WC7bFzVHK717RiDtetcUK,spotify:track:6WC7bFzVHK717RiDtetcUK,Piskovec - Live,['Lucie Bílá'],Koncert,1900,year,https://p.scdn.co/mp3-preview/0df0f34277f2db2eebf1e3f4bf525e6e44dc1751?cid=74d3dcba17084a749f20d4d3a2640dec
